"","Longitud","Latitud","Poblacio"
"Òdena",1.641588518,41.606742091,3681
"Ogassa",2.277413077,42.265841438,240
"Olèrdola",1.721133883,41.321018469,3847
"Olesa de Bonesvalls",1.850758765,41.351704507,1923
"Olesa de Montserrat",1.893900541,41.543505944,24132
"Oliana",1.31194814,42.066158092,1857
"Oliola",1.174256928,41.875964176,201
"Olius",1.556913968,41.977346272,962
"Olivella",1.812242091,41.310311558,4127
"Olost",2.095728143,41.985806687,1190
"Olot",2.484354623,42.183182657,41299
"Oluges, les",1.320031043,41.696769509,169
"Olvan",1.906973539,42.056997671,874
"Omellons, els",0.95990685,41.501124403,202
"Omells de na Gaia, els",1.07510478,41.500680291,127
"Ordis",2.906720201,42.218772993,369
"Organyà",1.327366452,42.210716993,766
"Orís",2.239282559,42.058223954,339
"Oristà",2.060357752,41.932365764,547
"Orpí",1.60692923,41.529003828,154
"Òrrius",2.35494046,41.555084531,779
"Os de Balaguer",0.718450186,41.870726394,1000
"Osor",2.556211062,41.945603494,426
"Ossó de Sió",1.159428883,41.754635815,196
"Pacs del Penedès",1.669009697,41.36151537,915
"Palafolls",2.749412882,41.667246003,9646
"Palafrugell",3.164065976,41.914954578,23046
"Palamós",3.129581349,41.846660808,18196
"Palau d'Anglesola, el",0.880824357,41.651646425,2205
"Palau de Santa Eulàlia",2.964362863,42.173541826,111
"Palau-sator",3.111179563,41.989327893,323
"Palau-saverdera",3.14812057,42.30735638,1490
"Palau-solità i Plegamans",2.178421008,41.58754343,14917
"Pallaresos, els",1.271857414,41.175359814,4872
"Pallejà",1.996775252,41.422579897,11636
"Palma d'Ebre, la",0.665882597,41.282508152,334
"Palma de Cervelló, la",1.971237761,41.411203329,3015
"Palol de Revardit",2.795806377,42.06935071,446
"Pals",3.145078573,41.971077096,2516
"Papiol, el",2.010961168,41.438024248,4232
"Pardines",2.214123574,42.312374597,166
"Parets del Vallès",2.233577244,41.573165532,18907
"Parlavà",3.031775971,42.023843802,413
"Passanant i Belltall",1.196922058,41.531863844,167
"Pau",3.1168817,42.316236729,588
"Paüls",0.400164063,40.922379434,563
"Pedret i Marzà",3.068686953,42.310205822,187
"Penelles",0.965598414,41.757972443,443
"Pera, la",2.973590405,42.020496326,448
"Perafita",2.106999046,42.042266806,412
"Perafort",1.255500189,41.190720894,1275
"Peralada",3.00798995,42.30792626,1945
"Peramola",1.267448373,42.057137291,348
"Perelló, el",0.712002694,40.874960691,2846
"Piera",1.743364446,41.518136198,16411
"Piles, les",1.342395363,41.503834423,218
"Pineda de Mar",2.689529503,41.627522457,27974
"Pinell de Brai, el",0.51568904,41.017805032,998
"Pinell de Solsonès",1.418757039,41.950155939,188
"Pinós",1.541994622,41.827370473,290
"Pira",1.202295244,41.423929996,498
"Pla de Santa Maria, el",1.288826246,41.365356337,2340
"Pla del Penedès, el",1.710276206,41.418366214,1306
"Planes d'Hostoles, les",2.536909351,42.055936308,1711
"Planoles",2.103610131,42.316346786,311
"Plans de Sió, els",1.197033473,41.761371051,503
"Poal, el",0.856863782,41.678379594,667
"Pobla de Cérvoles, la",0.915289225,41.36804868,198
"Pobla de Claramunt, la",1.675296009,41.555022308,2207
"Pobla de Lillet, la",1.974683055,42.243380426,1063
"Pobla de Mafumet, la",1.209284685,41.187588664,4025
"Pobla de Massaluca, la",0.353860191,41.181187304,341
"Pobla de Montornès, la",1.414486274,41.178823239,2999
"Pobla de Segur, la",0.969082431,42.249955624,3050
"Poboleda",0.845276091,41.232702878,328
"Polinyà",2.156245284,41.55760939,8494
"Pont d'Armentera, el",1.362939374,41.383748939,493
"Pont de Bar, el",1.605152752,42.372213008,174
"Pont de Molins",2.925538693,42.314643076,518
"Pont de Suert, el",0.740819954,42.407731665,7331
"Pont de Vilomara i Rocafort, el",1.87062396,41.700065814,4016
"Pontils",1.387396068,41.477524726,138
"Pontons",1.516619317,41.415735872,523
"Pontós",2.916807482,42.186731952,264
"Ponts",1.186369339,41.915333923,2629
"Porqueres",2.778059867,42.104307015,4701
"Porrera",0.856129608,41.188257409,428
"Port de la Selva, el",3.204538207,42.338598087,1010
"Portbou",3.16246997,42.426380488,1095
"Portella, la",0.639175932,41.739635922,727
"Pradell de la Teixeta",0.875646887,41.15619339,164
"Prades",0.988191149,41.309794099,602
"Prat de Comte",0.405237276,40.983568145,186
"Prat de Llobregat, el",2.093044846,41.330736272,65532
"Pratdip",0.871294807,41.051178749,680
"Prats de Lluçanès",2.028590923,42.008646719,2634
"Prats de Rei, els",1.542081512,41.705537756,551
"Prats i Sansor",1.836956242,42.36492897,251
"Preixana",1.03860185,41.606901506,391
"Preixens",1.050887005,41.79405026,421
"Premià de Dalt",2.34246115,41.507311014,10419
"Premià de Mar",2.35678569,41.489809495,28523
"Preses, les",2.460804364,42.142156741,1875
"Prullans",1.736184762,42.379135307,246
"Puig-reig",1.87898946,41.97413283,4289
"Puigcerdà",1.926947695,42.432630325,14518
"Puigdàlber",1.701100137,41.404279647,551
"Puiggròs",0.889455565,41.551719317,265
"Puigpelat",1.297636558,41.278722708,1196
"Puigverd d'Agramunt",1.12164226,41.777805619,230
"Puigverd de Lleida",0.733536105,41.543703841,1384
"Pujalt",1.422600785,41.71733521,206
"Quar, la",1.96148824,42.080887623,51
"Quart",2.839936624,41.939769466,3856
"Queralbs",2.162693687,42.34849447,191
"Querol",1.397736804,41.423311341,544
"Rabós",3.027717715,42.379336378,206
"Rajadell",1.70622668,41.727696301,549
"Rasquera",0.597134391,41.00136649,846
"Regencós",3.171880236,41.952855039,282
"Rellinars",1.910774943,41.637431146,868
"Renau",1.31123847,41.225338359,155
"Reus",1.108491969,41.155016386,111084
"Rialp",1.135992931,42.443985096,658
"Riba-roja d'Ebre",0.487657559,41.250925064,1117
"Riba, la",1.177776121,41.318336933,575
"Ribera d'Ondara",1.341908077,41.627717076,431
"Ribera d'Urgellet",1.382781138,42.312688366,947
"Ribes de Freser",2.167926705,42.306312153,1787
"Riells i Viabrea",2.557623335,41.72528733,4268
"Riera de Gaià, la",1.361392723,41.164840255,1737
"Riner",1.524576147,41.914637766,281
"Ripoll",2.19075318,42.201047605,15721
"Ripollet",2.15349201,41.496501631,39139
"Riu de Cerdanya",1.82627168,42.345554848,93
"Riudarenes",2.716505285,41.821938227,2283
"Riudaura",2.407573106,42.188457479,511
"Riudecanyes",0.96095419,41.130019804,1194
"Riudecols",0.9762538,41.168862354,1225
"Riudellots de la Selva",2.803237748,41.893192493,2076
"Riudoms",1.050870857,41.1376834,6617
"Riumors",3.043026927,42.226829518,244
"Roca del Vallès, la",2.325763581,41.587568707,10676
"Rocafort de Queralt",1.280961476,41.477539851,230
"Roda de Berà",1.456926185,41.186001973,7127
"Roda de Ter",2.309491592,41.980805565,6449
"Rodonyà",1.399037098,41.280036576,507
"Roquetes",0.503011157,40.818382488,8159
"Roses",3.174927346,42.263408485,19921
"Rosselló",0.596023748,41.695794873,3186
"Rourell, el",1.217774332,41.224874495,402
"Rubí",2.031335058,41.493484672,78549
"Rubió",1.570183864,41.644644088,236
"Rupià",3.0106476,42.020435613,296
"Rupit i Pruit",2.464658159,42.02330972,296
"Sabadell",2.108551925,41.546378033,221204
"Sagàs",1.961603058,42.050834225,151
"Salàs de Pallars",0.931464895,42.212545123,343
"Saldes",1.736147373,42.229320229,283
"Sales de Llierca",2.650126842,42.236069048,164
"Sallent",1.894674687,41.824062842,6717
"Salomó",1.374788777,41.22901123,544
"Salou",1.133565772,41.081176735,28512
"Salt",2.792056075,41.975053949,32230
"Sanaüja",1.309506069,41.875780212,396
"Sant Adrià de Besòs",2.217787409,41.430067423,37283
"Sant Agustí de Lluçanès",2.126789136,42.085605003,92
"Sant Andreu de la Barca",1.971403604,41.449999657,27175
"Sant Andreu de Llavaneres",2.483347205,41.574458666,11150
"Sant Andreu Salou",2.825520191,41.873359247,156
"Sant Aniol de Finestres",2.614430985,42.062860322,353
"Sant Antoni de Vilamajor",2.400660571,41.673569557,6383
"Sant Bartomeu del Grau",2.177151812,41.98028526,913
"Sant Boi de Llobregat",2.042704219,41.347524275,83755
"Sant Boi de Lluçanès",2.15178496,42.058770734,573
"Sant Cebrià de Vallalta",2.599410003,41.619470995,3570
"Sant Celoni",2.49251912,41.689962987,18176
"Sant Climent de Llobregat",1.996420408,41.337070695,4193
"Sant Climent Sescebes",2.980043309,42.368981257,712
"Sant Cugat del Vallès",2.082391608,41.469853438,94012
"Sant Cugat Sesgarrigues",1.75236167,41.362615136,1004
"Sant Esteve de la Sarga",0.763893912,42.079585796,122
"Sant Esteve de Palautordera",2.435177772,41.70353973,2997
"Sant Esteve Sesrovires",1.874365808,41.493245315,7771
"Sant Feliu de Buixalleu",2.60708759,41.735441219,808
"Sant Feliu de Codines",2.164546597,41.688918231,6406
"Sant Feliu de Guíxols",3.028398912,41.780447696,22210
"Sant Feliu de Llobregat",2.046230144,41.381953246,50463
"Sant Feliu de Pallerols",2.50747617,42.075439195,1456
"Sant Feliu Sasserra",2.022486759,41.944812194,617
"Sant Ferriol",2.71434161,42.194538263,247
"Sant Fost de Campsentelles",2.232936617,41.518757192,8997
"Sant Fruitós de Bages",1.87327387,41.750674624,8936
"Sant Gregori",2.759594318,41.990325643,4012
"Sant Guim de Freixenet",1.418867212,41.655776665,1059
"Sant Guim de la Plana",1.324595827,41.763017071,184
"Sant Hilari Sacalm",2.508315363,41.878843924,5758
"Sant Hipòlit de Voltregà",2.236199081,42.015546451,3547
"Sant Iscle de Vallalta",2.569300136,41.623865928,1438
"Sant Jaume d'Enveja",0.717018049,40.705040026,3552
"Sant Jaume de Frontanyà",2.025486574,42.186416389,28
"Sant Jaume de Llierca",2.607486515,42.211704253,852
"Sant Jaume dels Domenys",1.559265423,41.299632815,2666
"Sant Joan de les Abadesses",2.284830772,42.232808048,3250
"Sant Joan de Mollet",2.942815805,42.045811937,501
"Sant Joan de Vilatorrada",1.804848323,41.745507159,10871
"Sant Joan Despí",2.054954782,41.367821674,34130
"Sant Joan les Fonts",2.511051067,42.212650492,3050
"Sant Jordi Desvalls",2.953539082,42.072088934,796
"Sant Julià de Cerdanyola",1.892917871,42.223842931,235
"Sant Julià de Ramis",2.839385619,42.034654264,3612
"Sant Julià de Vilatorta",2.324497728,41.922295539,3152
"Sant Julià del Llor i Bonmatí",2.669926096,41.968193099,1314
"Sant Just Desvern",2.075560984,41.385728278,19379
"Sant Llorenç d'Hortons",1.824413228,41.467858768,2459
"Sant Llorenç de la Muga",2.790097926,42.320670567,267
"Sant Llorenç de Morunys",1.590910882,42.137245579,985
"Sant Llorenç Savall",2.059726584,41.679382905,2514
"Sant Martí d'Albars",2.074148562,42.027965552,107
"Sant Martí de Centelles",2.250971253,41.763890651,1186
"Sant Martí de Llémena",2.647611077,42.036154202,663
"Sant Martí de Riucorb",1.053125669,41.560099254,649
"Sant Martí de Tous",1.523004887,41.560600095,1236
"Sant Martí Sarroca",1.610944411,41.385315444,3286
"Sant Martí Sesgueioles",1.488163253,41.702012199,344
"Sant Martí Vell",2.931303885,42.019812556,244
"Sant Mateu de Bages",1.732630684,41.796756812,614
"Sant Miquel de Campmajor",2.684407451,42.125792537,243
"Sant Miquel de Fluvià",2.991883821,42.172159932,755
"Sant Mori",2.991477146,42.152921724,157
"Sant Pau de Segúries",2.365664211,42.261859908,725
"Sant Pere de Ribes",1.772114573,41.262303316,31525
"Sant Pere de Riudebitlles",1.701326925,41.453194474,2411
"Sant Pere de Torelló",2.29610097,42.075495183,2488
"Sant Pere de Vilamajor",2.390629567,41.685018969,4671
"Sant Pere Pescador",3.083283056,42.188119833,2083
"Sant Pere Sallavinera",1.572465286,41.736524189,159
"Sant Pol de Mar",2.621160222,41.600222588,5538
"Sant Quintí de Mediona",1.663146513,41.462349591,2367
"Sant Quirze de Besora",2.22222543,42.100285391,2145
"Sant Quirze del Vallès",2.080999131,41.532839537,20156
"Sant Quirze Safaja",2.153080364,41.727307423,660
"Sant Ramon",1.358975924,41.724610291,497
"Sant Sadurní d'Anoia",1.787300544,41.424211608,12840
"Sant Sadurní d'Osormort",2.381388572,41.901856926,76
"Sant Salvador de Guardiola",1.766295575,41.679232461,3243
"Sant Vicenç de Castellet",1.863615971,41.665552401,9868
"Sant Vicenç de Montalt",2.508766296,41.579019541,6523
"Sant Vicenç de Torelló",2.274015277,42.062600723,2077
"Sant Vicenç dels Horts",2.009712625,41.393336667,28115
"Santa Bàrbara",0.492828019,40.714344487,3762
"Santa Cecília de Voltregà",2.222301046,41.992821728,179
"Santa Coloma de Cervelló",2.016180072,41.368972821,8273
"Santa Coloma de Farners",2.662775243,41.861495834,18459
"Santa Coloma de Gramenet",2.207934468,41.452149345,119289
"Santa Coloma de Queralt",1.38330159,41.532383035,2702
"Santa Cristina d'Aro",2.99689805,41.812072519,5408
"Santa Eugènia de Berga",2.283148117,41.900358528,2259
"Santa Eulàlia de Riuprimer",2.188605638,41.910889845,1409
"Santa Eulàlia de Ronçana",2.229205451,41.652345584,7538
"Santa Fe del Penedès",1.721265848,41.384450014,378
"Santa Llogaia d'Àlguema",2.953125695,42.234004988,378
"Santa Margarida de Montbui",1.608065901,41.57382772,10192
"Santa Margarida i els Monjos",1.663058723,41.321375173,7664
"Santa Maria d'Oló",2.035571761,41.872175793,1065
"Santa Maria de Besora",2.257677408,42.12772104,161
"Santa Maria de Martorelles",2.253349207,41.519575973,882
"Santa Maria de Merlès",1.978376645,42.000962639,180
"Santa Maria de Miralles",1.525443659,41.518035348,129
"Santa Maria de Palautordera",2.44609648,41.692987137,9666
"Santa Oliva",1.549441975,41.253481475,3450
"Santa Pau",2.569688975,42.144867763,1585
"Santa Perpètua de Mogoda",2.183444726,41.534575829,26033
"Santa Susanna",2.707068724,41.635503771,3650
"Santpedor",1.839177662,41.783273365,7566
"Sarral",1.248772104,41.444102104,1549
"Sarrià de Ter",2.825219512,42.017092751,5231
"Sarroca de Bellera",0.881107541,42.359768042,120
"Sarroca de Lleida",0.561683506,41.459129275,357
"Saus, Camallera i Llampaies",2.963730612,42.12326353,865
"Savallà del Comtat",1.299624351,41.543127962,53
"Secuita, la",1.279347632,41.203240508,1728
"Selva de Mar, la",3.186985848,42.324474721,212
"Selva del Camp, la",1.136882482,41.215154226,5694
"Senan",1.088271595,41.469930456,42
"Sénia, la",0.285251665,40.633328162,5530
"Senterada",0.936534555,42.3246735,150
"Sentiu de Sió, la",0.877706518,41.805316871,426
"Sentmenat",2.136193226,41.60925884,9347
"Serinyà",2.745542768,42.169656286,1143
"Seròs",0.411037646,41.463867203,1923
"Serra de Daró",3.072558712,42.027618138,235
"Setcases",2.30136792,42.374963688,185
"Seu d'Urgell, la",1.462430747,42.358097618,17252
"Seva",2.280295766,41.838635065,3696
"Sidamon",0.832211886,41.628608802,755
"Sils",2.744337729,41.808583014,6349
"Sitges",1.811838248,41.235085186,30217
"Siurana",2.99449618,42.20934742,179
"Sobremunt",2.166839648,42.036132713,78
"Soleràs, el",0.68162869,41.414093772,337
"Solivella",1.177765474,41.455904289,640
"Solsona",1.517179245,41.99466233,14175
"Sora",2.159795294,42.110492814,211
"Soriguera",1.161365174,42.379617558,431
"Sort",1.131249289,42.4128257,7181
"Soses",0.487312034,41.5329964,1781
"Subirats",1.794652615,41.382413953,3149
"Sudanell",0.56712494,41.557691349,844
"Sunyer",0.59254954,41.522825048,334
"Súria",1.753565253,41.831466683,5923
"Susqueda",2.546874149,42.014140384,99
"Tagamanent",2.267717476,41.738443598,325
"Talamanca",1.977139773,41.738099313,222
"Talarn",0.899943075,42.185855021,489
"Talavera",1.338415635,41.581839816,287
"Tallada d'Empordà, la",3.054785975,42.079641195,466
"Taradell",2.286813911,41.873810657,6687
"Tarragona",1.254358212,41.117434237,140436
"Tàrrega",1.139054429,41.646283888,22649
"Tarrés",1.020144555,41.422900823,105
"Tarroja de Segarra",1.2765416,41.730486014,187
"Tavèrnoles",2.326511576,41.952148295,329
"Tavertet",2.418462997,41.996794922,113
"Teià",2.319824033,41.499674133,6532
"Térmens",0.760492054,41.717606072,1330
"Terrades",2.839005502,42.310105669,334
"Terrassa",2.010294804,41.562958779,223011
"Tiana",2.269019357,41.481728482,9009
"Tírvia",1.242875431,42.51515105,131
"Tiurana",1.256157847,41.97501877,73
"Tivenys",0.512315345,40.907529934,900
"Tivissa",0.732607845,41.042606642,1639
"Tona",2.229175918,41.850021542,8368
"Torà",1.402811908,41.812991733,1209
"Tordera",2.718763122,41.699024613,17788
"Torelló",2.260585184,42.047131929,14553
"Torms, els",0.719020561,41.394428026,145
"Tornabous",1.05285368,41.701532493,826
"Torre de Cabdella, la",0.982329839,42.421931352,765
"Torre de Claramunt, la",1.658209642,41.533575596,3852
"Torre de Fontaubella, la",0.864236158,41.124421196,128
"Torre de l'Espanyol, la",0.624788569,41.191385396,598
"Torre-serona",0.631037175,41.672967817,383
"Torrebesses",0.594026858,41.426261072,298
"Torredembarra",1.396064236,41.146065786,17057
"Torrefarrera",0.607077676,41.673084375,4702
"Torrefeta i Florejacs",1.274869878,41.754433142,602
"Torregrossa",0.831905372,41.580115168,2157
"Torrelameu",0.702979521,41.704061818,759
"Torrelavit",1.729905868,41.44634498,1429
"Torrelles de Foix",1.568940183,41.388472471,2479
"Torrelles de Llobregat",1.981109195,41.359047821,6126
"Torrent",3.127563835,41.951913634,160
"Torres de Segre",0.512600714,41.53516991,2381
"Torroella de Fluvià",3.040533504,42.175269001,726
"Torroella de Montgrí",3.12637678,42.041014927,12023
"Torroja del Priorat",0.810210307,41.213554992,141
"Tortellà",2.629675788,42.23281673,816
"Tortosa",0.520955976,40.810905003,38572
"Toses",2.016964383,42.321745481,178
"Tossa de Mar",2.930836887,41.717797583,5930
"Tremp",0.895896972,42.166918113,10893
"Ullà",3.107742163,42.050813703,1167
"Ullastrell",1.956888262,41.526903687,2096
"Ullastret",3.068398309,42.000762864,258
"Ulldecona",0.448797887,40.598042993,6317
"Ulldemolins",0.876332184,41.322383668,400
"Ultramort",3.034511785,42.036642729,226
"Urús",1.852098708,42.350634393,210
"Vacarisses",1.918781001,41.605936862,7082
"Vajol, la",2.800342985,42.403780725,88
"Vall d'en Bas, la",2.459160667,42.117698124,3115
"Vall de Bianya, la",2.45553093,42.211066566,1315
"Vall de Boí, la",0.800461177,42.504586732,1060
"Vall de Cardós",1.227640857,42.563615121,382
"Vall-llobrega",3.126951014,41.88053534,918
"Vallbona d'Anoia",1.709448701,41.519985372,1375
"Vallbona de les Monges",1.088920757,41.525048991,236
"Vallcebre",1.818586195,42.20333326,258
"Vallclara",0.982069891,41.377204716,91
"Vallfogona de Balaguer",0.816350796,41.75200775,1912
"Vallfogona de Ripollès",2.304150212,42.197288935,213
"Vallfogona de Riucorb",1.236228855,41.563096739,77
"Vallgorguina",2.511522938,41.647259881,3052
"Vallirana",1.931881445,41.388056111,15438
"Vallmoll",1.248902308,41.242653112,1793
"Vallromanes",2.298353915,41.531842947,2594
"Valls",1.247623975,41.284304819,29553
"Valls d'Aguilar, les",1.341832868,42.293959661,264
"Valls de Valira, les",1.456737734,42.379083424,800
"Vandellòs i l'Hospitalet de l'Infant",0.831528354,41.019924424,6645
"Vansa i Fórnols, la",1.480451914,42.233562788,156
"Veciana",1.488662991,41.655976833,179
"Vendrell, el",1.53509551,41.220122319,43891
"Ventalló",3.026900742,42.149370605,914
"Verdú",1.142859787,41.610585216,880
"Verges",3.046671526,42.060433814,1183
"Vespella de Gaià",1.362829038,41.195539112,458
"Vic",2.254264193,41.929967609,52319
"Vidrà",2.309780855,42.122732223,186
"Vidreres",2.780328583,41.789671144,8073
"Vielha e Mijaran",0.795126455,42.70191316,10674
"Vila-rodona",1.358321566,41.310904342,1299
"Vila-sacra",3.018439284,42.265455233,761
"Vila-sana",0.927470734,41.663553804,761
"Vila-seca",1.144805793,41.110949229,22522
"Vilabella",1.329909008,41.246753499,705
"Vilabertran",2.979693865,42.283562459,969
"Vilablareix",2.794042045,41.952774393,3225
"Vilada",1.931742789,42.136867266,424
"Viladamat",3.073817047,42.132750844,471
"Viladasens",2.92969952,42.095331853,214
"Viladecans",2.019652409,41.315896769,66707
"Viladecavalls",1.954375361,41.555330455,7621
"Vilademuls",2.887964208,42.1385121,835
"Viladrau",2.38994519,41.847690592,1102
"Vilafant",2.937795096,42.246633446,5480
"Vilafranca del Penedès",1.697222865,41.346497608,44969
"Vilagrassa",1.106432042,41.64824278,587
"Vilajuïga",3.094145391,42.327452601,1124
"Vilalba dels Arcs",0.410194282,41.121123276,630
"Vilalba Sasserra",2.44112064,41.652858568,758
"Vilaller",0.717205843,42.476393315,554
"Vilallonga de Ter",2.312432131,42.331670299,386
"Vilallonga del Camp",1.205916871,41.21136969,2385
"Vilamacolum",3.056959228,42.196580051,371
"Vilamalla",2.970718914,42.21719177,1154
"Vilamaniscle",3.067798773,42.37549187,205
"Vilamòs",0.726519814,42.747631836,164
"Vilanant",2.889153626,42.255001639,399
"Vilanova d'Escornalbou",0.936622714,41.112967137,582
"Vilanova de Bellpuig",0.961223054,41.614793222,1178
"Vilanova de l'Aguda",1.252463404,41.910864913,194
"Vilanova de la Barca",0.728766743,41.691061101,1127
"Vilanova de Meià",1.023470182,41.995580083,427
"Vilanova de Prades",0.956407714,41.34808373,108
"Vilanova de Sau",2.384824808,41.94711624,314
"Vilanova de Segrià",0.618737616,41.712529134,1000
"Vilanova del Camí",1.634199238,41.572258552,12736
"Vilanova del Vallès",2.288998615,41.554056558,5535
"Vilanova i la Geltrú",1.726180234,41.224111138,72458
"Vilaplana",1.03310439,41.228666117,536
"Vilassar de Dalt",2.359477069,41.516990794,9074
"Vilassar de Mar",2.392486809,41.502388587,20936
"Vilaür",2.953885017,42.143537642,162
"Vilaverd",1.177353406,41.336869769,445
"Vilella Alta, la",0.781334275,41.22464309,131
"Vilella Baixa, la",0.761861618,41.22055919,208
"Vilobí d'Onyar",2.742918474,41.88837663,3310
"Vilobí del Penedès",1.663622541,41.390244586,1128
"Vilopriu",2.992290918,42.104206187,230
"Vilosell, el",0.94660253,41.383296411,192
"Vimbodí i Poblet",1.051107112,41.400326003,880
"Vinaixa",0.975099399,41.428421621,464
"Vinebre",0.590646848,41.184233762,427
"Vinyols i els Arcs",1.039134837,41.113623977,2193
"Viver i Serrateix",1.778623024,41.94672926,175
"Xerta",0.490652464,40.906816761,1159
